"","Count_180","idSensore","Year","Month","Count_120"
"754",7,5719,2011,8,24
"755",1,5719,2011,9,9
"756",0,5719,2011,10,2
"757",0,5719,2012,4,1
"758",0,5719,2012,5,11
"759",5,5719,2012,6,16
"760",3,5719,2012,7,22
"761",9,5719,2012,8,24
"762",2,5719,2012,9,5
"763",0,5719,2012,10,0
"764",0,5719,2013,4,1
"765",0,5719,2013,5,0
"766",2,5719,2013,6,8
"767",7,5719,2013,7,24
"768",6,5719,2013,8,19
"769",0,5719,2013,9,5
"770",0,5719,2013,10,0
"771",0,5719,2014,4,2
"772",0,5719,2014,5,2
"773",6,5719,2014,6,13
"774",4,5719,2014,7,11
"775",0,5719,2014,8,7
"776",0,5719,2014,9,1
"777",NA,5719,2014,10,NA
"778",0,5719,2015,4,0
"779",0,5719,2015,5,0
"780",2,5719,2015,6,13
"781",9,5719,2015,7,21
"782",2,5719,2015,8,13
"783",0,5719,2015,9,0
"784",NA,5719,2015,10,NA
"785",0,5719,2016,4,0
"786",0,5719,2016,5,8
"787",NA,5719,2016,6,NA
"788",7,5719,2016,7,24
"789",6,5719,2016,8,22
"790",5,5719,2016,9,11
"791",0,5719,2016,10,0
"792",0,5719,2017,4,2
"793",1,5719,2017,5,10
"794",9,5719,2017,6,19
"795",7,5719,2017,7,22
"796",11,5719,2017,8,23
"797",0,5719,2017,9,2
"798",NA,5719,2017,10,NA
"799",0,5719,2018,4,7
"800",0,5719,2018,5,7
"801",5,5719,2018,6,21
"802",9,5719,2018,7,27
"803",10,5719,2018,8,24
"804",2,5719,2018,9,14
"805",0,5719,2018,10,0
"806",0,5719,2019,4,3
"807",0,5719,2019,5,5
"808",9,5719,2019,6,23
"809",11,5719,2019,7,26
"810",2,5719,2019,8,25
"811",0,5719,2019,9,8
"812",0,5719,2019,10,0
"813",0,5719,2020,4,0
"814",0,5719,2020,5,2
"815",0,5719,2020,6,5
"816",3,5719,2020,7,15
"817",1,5719,2020,8,16
"818",0,5719,2020,9,6
"819",NA,5719,2020,10,0
"820",NA,5719,2021,4,NA
"821",0,5719,2021,5,5
"822",NA,5719,2021,6,21
"823",3,5719,2021,7,20
"824",6,5719,2021,8,17
"825",4,5719,2021,9,13
"826",0,5719,2021,10,0
"827",0,5719,2022,4,3
"828",0,5719,2022,5,15
"829",5,5719,2022,6,21
"830",9,5719,2022,7,28
"831",4,5719,2022,8,28
"832",0,5719,2022,9,5
"833",0,5719,2022,10,0
"834",0,5719,2023,4,0
"835",0,5719,2023,5,9
"836",3,5719,2023,6,25
"837",NA,5719,2023,7,NA
"838",NA,5719,2023,8,NA
"839",4,5719,2023,9,11
"840",NA,5719,2023,10,NA
"841",0,5721,2000,4,1
"842",2,5721,2000,5,17
"843",15,5721,2000,6,27
"844",10,5721,2000,7,22
"845",14,5721,2000,8,26
"846",6,5721,2000,9,13
"847",0,5721,2000,10,0
"848",0,5721,2001,4,2
"849",2,5721,2001,5,16
"850",6,5721,2001,6,20
"851",7,5721,2001,7,26
"852",10,5721,2001,8,25
"853",0,5721,2001,9,0
"854",0,5721,2001,10,0
"855",0,5721,2002,4,8
"856",0,5721,2002,5,8
"857",8,5721,2002,6,21
"858",5,5721,2002,7,26
"859",0,5721,2002,8,20
"860",0,5721,2002,9,6
"861",0,5721,2002,10,0
"862",0,5721,2003,4,7
"863",2,5721,2003,5,19
"864",14,5721,2003,6,30
"865",16,5721,2003,7,30
"866",16,5721,2003,8,27
"867",4,5721,2003,9,9
"868",0,5721,2003,10,0
"869",1,5721,2004,4,9
"870",3,5721,2004,5,20
"871",10,5721,2004,6,23
"872",11,5721,2004,7,27
"873",5,5721,2004,8,21
"874",3,5721,2004,9,12
"875",0,5721,2004,10,0
"876",0,5721,2005,4,8
"877",5,5721,2005,5,18
"878",NA,5721,2005,6,NA
"879",NA,5721,2005,7,NA
"880",0,5721,2005,8,2
"881",0,5721,2005,9,3
"882",0,5721,2005,10,0
"883",0,5721,2006,4,2
"884",0,5721,2006,5,3
"885",5,5721,2006,6,22
"886",9,5721,2006,7,29
"887",0,5721,2006,8,9
"888",2,5721,2006,9,9
"889",0,5721,2006,10,0
"890",1,5721,2007,4,25
"891",5,5721,2007,5,16
"892",1,5721,2007,6,10
"893",2,5721,2007,7,14
"894",0,5721,2007,8,8
"895",0,5721,2007,9,0
"896",0,5721,2007,10,0
"897",0,5721,2008,4,3
"898",0,5721,2008,5,10
"899",NA,5721,2008,6,NA
"900",0,5721,2008,7,17
"901",0,5721,2008,8,7
"902",0,5721,2008,9,0
"903",0,5721,2008,10,0
"904",0,5721,2009,4,0
"905",0,5721,2009,5,1
"906",0,5721,2009,6,10
"907",0,5721,2009,7,12
"908",1,5721,2009,8,21
"909",0,5721,2009,9,3
"910",0,5721,2009,10,0
"911",0,5721,2010,4,7
"912",0,5721,2010,5,11
